公司名称,股票代码,板块,文件名,页码数,时间,文件大小(MB),文件路径,年份
航材股份,688563,科创板,688563_航材股份_2023-07-14.pdf,411,2023-07-14,8.8,/Users/chenyuang/Desktop/巨潮网资料/2023/688563_航材股份_2023-07-14.pdf,2023
江盐集团,601065,沪主板,601065_江盐集团_2023-04-04.pdf,578,2023-04-04,7.48,/Users/chenyuang/Desktop/巨潮网资料/2023/601065_江盐集团_2023-04-04.pdf,2023
南王科技,301355,创业板,301355_南王科技_2023-06-06.pdf,380,2023-06-06,5.91,/Users/chenyuang/Desktop/巨潮网资料/2023/301355_南王科技_2023-06-06.pdf,2023
盛邦安全,688651,科创板,688651_盛邦安全_2023-07-21.pdf,371,2023-07-21,5.52,/Users/chenyuang/Desktop/巨潮网资料/2023/688651_盛邦安全_2023-07-21.pdf,2023
航天环宇,688523,科创板,688523_航天环宇_2023-05-30.pdf,396,2023-05-30,11.21,/Users/chenyuang/Desktop/巨潮网资料/2023/688523_航天环宇_2023-05-30.pdf,2023
天键股份,301383,创业板,301383_天键股份_2023-06-02.pdf,522,2023-06-02,6.73,/Users/chenyuang/Desktop/巨潮网资料/2023/301383_天键股份_2023-06-02.pdf,2023
南芯科技,688484,科创板,688484_南芯科技_2023-03-30.pdf,401,2023-03-30,5.96,/Users/chenyuang/Desktop/巨潮网资料/2023/688484_南芯科技_2023-03-30.pdf,2023
鼎龙科技,603004,沪主板,603004_鼎龙科技_2023-12-22.pdf,503,2023-12-22,5.64,/Users/chenyuang/Desktop/巨潮网资料/2023/603004_鼎龙科技_2023-12-22.pdf,2023
森泰股份,301429,创业板,301429_森泰股份_2023-04-12.pdf,445,2023-04-12,6.03,/Users/chenyuang/Desktop/巨潮网资料/2023/301429_森泰股份_2023-04-12.pdf,2023
宝地矿业,601121,沪主板,601121_宝地矿业_2023-02-24.pdf,136,2023-02-24,2.91,/Users/chenyuang/Desktop/巨潮网资料/2023/601121_宝地矿业_2023-02-24.pdf,2023
中科磁业,301141,创业板,301141_中科磁业_2023-03-29.pdf,519,2023-03-29,10.21,/Users/chenyuang/Desktop/巨潮网资料/2023/301141_中科磁业_2023-03-29.pdf,2023
四川黄金,001337,深主板,001337_四川黄金_2023-02-21.pdf,531,2023-02-21,11.06,/Users/chenyuang/Desktop/巨潮网资料/2023/001337_四川黄金_2023-02-21.pdf,2023
宏盛华源,601096,沪主板,601096_宏盛华源_2023-12-19.pdf,576,2023-12-19,13.53,/Users/chenyuang/Desktop/巨潮网资料/2023/601096_宏盛华源_2023-12-19.pdf,2023
金海通,603061,沪主板,603061_金海通_2023-02-16.pdf,1452,2023-02-16,38.33,/Users/chenyuang/Desktop/巨潮网资料/2023/603061_金海通_2023-02-16.pdf,2023
中控技术,688777,科创板,688777_中控技术_2023-04-12.pdf,1,2023-04-12,0.41,/Users/chenyuang/Desktop/巨潮网资料/2023/688777_中控技术_2023-04-12.pdf,2023
九州一轨,688485,科创板,688485_九州一轨_2023-01-13.pdf,508,2023-01-13,9.22,/Users/chenyuang/Desktop/巨潮网资料/2023/688485_九州一轨_2023-01-13.pdf,2023
鑫宏业,301310,创业板,301310_鑫宏业_2023-05-30.pdf,422,2023-05-30,9.6,/Users/chenyuang/Desktop/巨潮网资料/2023/301310_鑫宏业_2023-05-30.pdf,2023
中重科技,603135,沪主板,603135_中重科技_2023-03-31.pdf,433,2023-03-31,9.96,/Users/chenyuang/Desktop/巨潮网资料/2023/603135_中重科技_2023-03-31.pdf,2023
港通医疗,301515,创业板,301515_港通医疗_2023-07-17.pdf,476,2023-07-17,6.7,/Users/chenyuang/Desktop/巨潮网资料/2023/301515_港通医疗_2023-07-17.pdf,2023
精智达,688627,科创板,688627_精智达_2023-07-13.pdf,374,2023-07-13,5.17,/Users/chenyuang/Desktop/巨潮网资料/2023/688627_精智达_2023-07-13.pdf,2023
辰奕智能,301578,创业板,301578_辰奕智能_2023-12-25.pdf,357,2023-12-25,7.76,/Users/chenyuang/Desktop/巨潮网资料/2023/301578_辰奕智能_2023-12-25.pdf,2023
茂莱光学,688502,科创板,688502_茂莱光学_2023-03-02.pdf,406,2023-03-02,5.98,/Users/chenyuang/Desktop/巨潮网资料/2023/688502_茂莱光学_2023-03-02.pdf,2023
多浦乐,301528,创业板,301528_多浦乐_2023-08-21.pdf,324,2023-08-21,6.19,/Users/chenyuang/Desktop/巨潮网资料/2023/301528_多浦乐_2023-08-21.pdf,2023
协昌科技,301418,创业板,301418_协昌科技_2023-08-14.pdf,576,2023-08-14,23.01,/Users/chenyuang/Desktop/巨潮网资料/2023/301418_协昌科技_2023-08-14.pdf,2023
国泰环保,301203,创业板,301203_国泰环保_2023-03-30.pdf,391,2023-03-30,10.86,/Users/chenyuang/Desktop/巨潮网资料/2023/301203_国泰环保_2023-03-30.pdf,2023
蓝箭电子,301348,创业板,301348_蓝箭电子_2023-08-03.pdf,432,2023-08-03,10.76,/Users/chenyuang/Desktop/巨潮网资料/2023/301348_蓝箭电子_2023-08-03.pdf,2023
云天励飞,688343,科创板,688343_云天励飞_2023-03-30.pdf,603,2023-03-30,8.87,/Users/chenyuang/Desktop/巨潮网资料/2023/688343_云天励飞_2023-03-30.pdf,2023
君逸数码,301172,创业板,301172_君逸数码_2023-07-21.pdf,468,2023-07-21,18.53,/Users/chenyuang/Desktop/巨潮网资料/2023/301172_君逸数码_2023-07-21.pdf,2023
亚华电子,301337,创业板,301337_亚华电子_2023-05-18.pdf,357,2023-05-18,5.64,/Users/chenyuang/Desktop/巨潮网资料/2023/301337_亚华电子_2023-05-18.pdf,2023
威尔高,301251,创业板,301251_威尔高_2023-09-01.pdf,359,2023-09-01,7.77,/Users/chenyuang/Desktop/巨潮网资料/2023/301251_威尔高_2023-09-01.pdf,2023
阿特斯,688472,科创板,688472_阿特斯_2023-06-06.pdf,823,2023-06-06,10.14,/Users/chenyuang/Desktop/巨潮网资料/2023/688472_阿特斯_2023-06-06.pdf,2023
英特科技,301399,创业板,301399_英特科技_2023-05-18.pdf,349,2023-05-18,8.79,/Users/chenyuang/Desktop/巨潮网资料/2023/301399_英特科技_2023-05-18.pdf,2023
艾罗能源,688717,科创板,688717_艾罗能源_2023-12-28.pdf,457,2023-12-28,7.64,/Users/chenyuang/Desktop/巨潮网资料/2023/688717_艾罗能源_2023-12-28.pdf,2023
柏诚股份,601133,沪主板,601133_柏诚股份_2023-04-04.pdf,513,2023-04-04,8.84,/Users/chenyuang/Desktop/巨潮网资料/2023/601133_柏诚股份_2023-04-04.pdf,2023
新相微,688593,科创板,688593_新相微_2023-05-29.pdf,388,2023-05-29,7.58,/Users/chenyuang/Desktop/巨潮网资料/2023/688593_新相微_2023-05-29.pdf,2023
中巨芯,688549,科创板,688549_中巨芯_2023-09-01.pdf,436,2023-09-01,6.41,/Users/chenyuang/Desktop/巨潮网资料/2023/688549_中巨芯_2023-09-01.pdf,2023
恒兴新材,603276,沪主板,603276_恒兴新材_2023-09-20.pdf,391,2023-09-20,5.45,/Users/chenyuang/Desktop/巨潮网资料/2023/603276_恒兴新材_2023-09-20.pdf,2023
海森药业,001367,深主板,001367_海森药业_2023-04-03.pdf,397,2023-04-03,9.28,/Users/chenyuang/Desktop/巨潮网资料/2023/001367_海森药业_2023-04-03.pdf,2023
星源材质,300568,创业板,300568_星源材质_2023-12-12.pdf,1,2023-12-12,0.15,/Users/chenyuang/Desktop/巨潮网资料/2023/300568_星源材质_2023-12-12.pdf,2023
长青科技,001324,深主板,001324_长青科技_2023-05-16.pdf,391,2023-05-16,5.25,/Users/chenyuang/Desktop/巨潮网资料/2023/001324_长青科技_2023-05-16.pdf,2023
未来电器,301386,创业板,301386_未来电器_2023-03-23.pdf,420,2023-03-23,5.67,/Users/chenyuang/Desktop/巨潮网资料/2023/301386_未来电器_2023-03-23.pdf,2023
播恩集团,001366,深主板,001366_播恩集团_2023-02-21.pdf,638,2023-02-21,14.27,/Users/chenyuang/Desktop/巨潮网资料/2023/001366_播恩集团_2023-02-21.pdf,2023
飞沃科技,301232,创业板,301232_飞沃科技_2023-06-12.pdf,703,2023-06-12,7.56,/Users/chenyuang/Desktop/巨潮网资料/2023/301232_飞沃科技_2023-06-12.pdf,2023
英方软件,688435,科创板,688435_英方软件_2023-01-16.pdf,432,2023-01-16,9.27,/Users/chenyuang/Desktop/巨潮网资料/2023/688435_英方软件_2023-01-16.pdf,2023
长华化学,301518,创业板,301518_长华化学_2023-07-28.pdf,476,2023-07-28,11.63,/Users/chenyuang/Desktop/巨潮网资料/2023/301518_长华化学_2023-07-28.pdf,2023
众辰科技,603275,沪主板,603275_众辰科技_2023-08-18.pdf,415,2023-08-18,4.56,/Users/chenyuang/Desktop/巨潮网资料/2023/603275_众辰科技_2023-08-18.pdf,2023
逸飞激光,688646,科创板,688646_逸飞激光_2023-07-25.pdf,410,2023-07-25,10.04,/Users/chenyuang/Desktop/巨潮网资料/2023/688646_逸飞激光_2023-07-25.pdf,2023
安培龙,301413,创业板,301413_安培龙_2023-12-13.pdf,395,2023-12-13,5.35,/Users/chenyuang/Desktop/巨潮网资料/2023/301413_安培龙_2023-12-13.pdf,2023
格力博,301260,创业板,301260_格力博_2023-01-31.pdf,814,2023-01-31,39.9,/Users/chenyuang/Desktop/巨潮网资料/2023/301260_格力博_2023-01-31.pdf,2023
固高科技,301510,创业板,301510_固高科技_2023-08-08.pdf,389,2023-08-08,11.84,/Users/chenyuang/Desktop/巨潮网资料/2023/301510_固高科技_2023-08-08.pdf,2023
民生健康,301507,创业板,301507_民生健康_2023-08-28.pdf,380,2023-08-28,10.51,/Users/chenyuang/Desktop/巨潮网资料/2023/301507_民生健康_2023-08-28.pdf,2023
海看股份,301262,创业板,301262_海看股份_2023-06-15.pdf,613,2023-06-15,8.32,/Users/chenyuang/Desktop/巨潮网资料/2023/301262_海看股份_2023-06-15.pdf,2023
泓淋电力,301439,创业板,301439_泓淋电力_2023-03-14.pdf,759,2023-03-14,13.69,/Users/chenyuang/Desktop/巨潮网资料/2023/301439_泓淋电力_2023-03-14.pdf,2023
朗坤环境,301305,创业板,301305_朗坤环境_2023-05-17.pdf,670,2023-05-17,11.4,/Users/chenyuang/Desktop/巨潮网资料/2023/301305_朗坤环境_2023-05-17.pdf,2023
一彬科技,001278,深主板,001278_一彬科技_2023-02-20.pdf,622,2023-02-20,7.0,/Users/chenyuang/Desktop/巨潮网资料/2023/001278_一彬科技_2023-02-20.pdf,2023
美芯晟,688458,科创板,688458_美芯晟_2023-05-17.pdf,392,2023-05-17,9.99,/Users/chenyuang/Desktop/巨潮网资料/2023/688458_美芯晟_2023-05-17.pdf,2023
绿通科技,301322,创业板,301322_绿通科技_2023-03-01.pdf,341,2023-03-01,8.76,/Users/chenyuang/Desktop/巨潮网资料/2023/301322_绿通科技_2023-03-01.pdf,2023
博实结,301608,创业板,301608_博实结_2024-07-29.pdf,397,2024-07-29,8.73,/Users/chenyuang/Desktop/巨潮网资料/2024/301608_博实结_2024-07-29.pdf,2024
成都华微,688709,科创板,688709_成都华微_2024-02-02.pdf,402,2024-02-02,10.51,/Users/chenyuang/Desktop/巨潮网资料/2024/688709_成都华微_2024-02-02.pdf,2024
永兴股份,601033,沪主板,601033_永兴股份_2024-01-15.pdf,868,2024-01-15,11.3,/Users/chenyuang/Desktop/巨潮网资料/2024/601033_永兴股份_2024-01-15.pdf,2024
太湖远大,920118,北交所,920118_太湖远大_2024-08-09.pdf,336,2024-08-09,5.21,/Users/chenyuang/Desktop/巨潮网资料/2024/920118_太湖远大_2024-08-09.pdf,2024
小方制药,603207,沪主板,603207_小方制药_2024-08-21.pdf,404,2024-08-21,16.21,/Users/chenyuang/Desktop/巨潮网资料/2024/603207_小方制药_2024-08-21.pdf,2024
骏鼎达,301538,创业板,301538_骏鼎达_2024-03-15.pdf,351,2024-03-15,10.47,/Users/chenyuang/Desktop/巨潮网资料/2024/301538_骏鼎达_2024-03-15.pdf,2024
慧翰股份,301600,创业板,301600_慧翰股份_2024-08-29.pdf,364,2024-08-29,8.0,/Users/chenyuang/Desktop/巨潮网资料/2024/301600_慧翰股份_2024-08-29.pdf,2024
龙图光罩,688721,科创板,688721_龙图光罩_2024-08-01.pdf,305,2024-08-01,6.02,/Users/chenyuang/Desktop/巨潮网资料/2024/688721_龙图光罩_2024-08-01.pdf,2024
博隆技术,603325,沪主板,603325_博隆技术_2024-01-05.pdf,428,2024-01-05,7.72,/Users/chenyuang/Desktop/巨潮网资料/2024/603325_博隆技术_2024-01-05.pdf,2024
中创股份,688695,科创板,688695_中创股份_2024-03-08.pdf,378,2024-03-08,8.04,/Users/chenyuang/Desktop/巨潮网资料/2024/688695_中创股份_2024-03-08.pdf,2024
苏州天脉,301626,创业板,301626_苏州天脉_2024-10-21.pdf,416,2024-10-21,8.08,/Users/chenyuang/Desktop/巨潮网资料/2024/301626_苏州天脉_2024-10-21.pdf,2024
众鑫股份,603091,沪主板,603091_众鑫股份_2024-09-12.pdf,478,2024-09-12,6.34,/Users/chenyuang/Desktop/巨潮网资料/2024/603091_众鑫股份_2024-09-12.pdf,2024
富特科技,301607,创业板,301607_富特科技_2024-08-30.pdf,395,2024-08-30,13.27,/Users/chenyuang/Desktop/巨潮网资料/2024/301607_富特科技_2024-08-30.pdf,2024
美信科技,301577,创业板,301577_美信科技_2024-01-11.pdf,369,2024-01-11,6.66,/Users/chenyuang/Desktop/巨潮网资料/2024/301577_美信科技_2024-01-11.pdf,2024
爱迪特,301580,创业板,301580_爱迪特_2024-06-21.pdf,492,2024-06-21,13.54,/Users/chenyuang/Desktop/巨潮网资料/2024/301580_爱迪特_2024-06-21.pdf,2024
绿联科技,301606,创业板,301606_绿联科技_2024-07-19.pdf,573,2024-07-19,8.54,/Users/chenyuang/Desktop/巨潮网资料/2024/301606_绿联科技_2024-07-19.pdf,2024
星宸科技,301536,创业板,301536_星宸科技_2024-03-22.pdf,418,2024-03-22,11.74,/Users/chenyuang/Desktop/巨潮网资料/2024/301536_星宸科技_2024-03-22.pdf,2024
西典新能,603312,沪主板,603312_西典新能_2024-01-08.pdf,331,2024-01-08,8.66,/Users/chenyuang/Desktop/巨潮网资料/2024/603312_西典新能_2024-01-08.pdf,2024
巍华新材,603310,沪主板,603310_巍华新材_2024-08-09.pdf,500,2024-08-09,8.38,/Users/chenyuang/Desktop/巨潮网资料/2024/603310_巍华新材_2024-08-09.pdf,2024
港迪技术,301633,创业板,301633_港迪技术_2024-10-23.pdf,449,2024-10-23,9.75,/Users/chenyuang/Desktop/巨潮网资料/2024/301633_港迪技术_2024-10-23.pdf,2024
键邦股份,603285,沪主板,603285_键邦股份_2024-07-02.pdf,383,2024-07-02,7.14,/Users/chenyuang/Desktop/巨潮网资料/2024/603285_键邦股份_2024-07-02.pdf,2024
长联科技,301618,创业板,301618_长联科技_2024-09-13.pdf,412,2024-09-13,9.27,/Users/chenyuang/Desktop/巨潮网资料/2024/301618_长联科技_2024-09-13.pdf,2024
北自科技,603082,沪主板,603082_北自科技_2024-01-25.pdf,458,2024-01-25,10.29,/Users/chenyuang/Desktop/巨潮网资料/2024/603082_北自科技_2024-01-25.pdf,2024
永臻股份,603381,沪主板,603381_永臻股份_2024-06-21.pdf,398,2024-06-21,6.82,/Users/chenyuang/Desktop/巨潮网资料/2024/603381_永臻股份_2024-06-21.pdf,2024
中仑新材,301565,创业板,301565_中仑新材_2024-06-17.pdf,445,2024-06-17,6.51,/Users/chenyuang/Desktop/巨潮网资料/2024/301565_中仑新材_2024-06-17.pdf,2024
珂玛科技,301611,创业板,301611_珂玛科技_2024-08-09.pdf,456,2024-08-09,9.3,/Users/chenyuang/Desktop/巨潮网资料/2024/301611_珂玛科技_2024-08-09.pdf,2024
无线传媒,301551,创业板,301551_无线传媒_2024-09-23.pdf,381,2024-09-23,8.47,/Users/chenyuang/Desktop/巨潮网资料/2024/301551_无线传媒_2024-09-23.pdf,2024
成电光信,920008,北交所,920008_成电光信_2024-08-16.pdf,300,2024-08-16,5.66,/Users/chenyuang/Desktop/巨潮网资料/2024/920008_成电光信_2024-08-16.pdf,2024
盛景微,603375,沪主板,603375_盛景微_2024-01-19.pdf,417,2024-01-19,5.99,/Users/chenyuang/Desktop/巨潮网资料/2024/603375_盛景微_2024-01-19.pdf,2024
平安电工,001359,深主板,001359_平安电工_2024-03-21.pdf,350,2024-03-21,8.72,/Users/chenyuang/Desktop/巨潮网资料/2024/001359_平安电工_2024-03-21.pdf,2024
科力装备,301552,创业板,301552_科力装备_2024-07-17.pdf,360,2024-07-17,5.12,/Users/chenyuang/Desktop/巨潮网资料/2024/301552_科力装备_2024-07-17.pdf,2024
雪祺电气,001387,深主板,001387_雪祺电气_2024-01-08.pdf,432,2024-01-08,5.77,/Users/chenyuang/Desktop/巨潮网资料/2024/001387_雪祺电气_2024-01-08.pdf,2024
强邦新材,001279,深主板,001279_强邦新材_2024-10-08.pdf,345,2024-10-08,12.36,/Users/chenyuang/Desktop/巨潮网资料/2024/001279_强邦新材_2024-10-08.pdf,2024
合合信息,688615,科创板,688615_合合信息_2024-09-23.pdf,522,2024-09-23,8.74,/Users/chenyuang/Desktop/巨潮网资料/2024/688615_合合信息_2024-09-23.pdf,2024
佳力奇,301586,创业板,301586_佳力奇_2024-08-23.pdf,435,2024-08-23,9.46,/Users/chenyuang/Desktop/巨潮网资料/2024/301586_佳力奇_2024-08-23.pdf,2024
达梦数据,688692,科创板,688692_达梦数据_2024-06-06.pdf,534,2024-06-06,4.62,/Users/chenyuang/Desktop/巨潮网资料/2024/688692_达梦数据_2024-06-06.pdf,2024
诺瓦星云,301589,创业板,301589_诺瓦星云_2024-02-05.pdf,479,2024-02-05,7.45,/Users/chenyuang/Desktop/巨潮网资料/2024/301589_诺瓦星云_2024-02-05.pdf,2024
拉普拉斯,688726,科创板,688726_拉普拉斯_2024-10-24.pdf,520,2024-10-24,11.86,/Users/chenyuang/Desktop/巨潮网资料/2024/688726_拉普拉斯_2024-10-24.pdf,2024
益诺思,688710,科创板,688710_益诺思_2024-08-29.pdf,465,2024-08-29,7.88,/Users/chenyuang/Desktop/巨潮网资料/2024/688710_益诺思_2024-08-29.pdf,2024
龙旗科技,603341,沪主板,603341_龙旗科技_2024-02-27.pdf,520,2024-02-27,8.24,/Users/chenyuang/Desktop/巨潮网资料/2024/603341_龙旗科技_2024-02-27.pdf,2024
肯特股份,301591,创业板,301591_肯特股份_2024-02-22.pdf,406,2024-02-22,10.0,/Users/chenyuang/Desktop/巨潮网资料/2024/301591_肯特股份_2024-02-22.pdf,2024
广合科技,001389,深主板,001389_广合科技_2024-03-28.pdf,441,2024-03-28,9.65,/Users/chenyuang/Desktop/巨潮网资料/2024/001389_广合科技_2024-03-28.pdf,2024
六九一二,301592,创业板,301592_六九一二_2024-10-09.pdf,450,2024-10-09,9.46,/Users/chenyuang/Desktop/巨潮网资料/2024/301592_六九一二_2024-10-09.pdf,2024
中瑞股份,301587,创业板,301587_中瑞股份_2024-03-29.pdf,296,2024-03-29,6.85,/Users/chenyuang/Desktop/巨潮网资料/2024/301587_中瑞股份_2024-03-29.pdf,2024
腾达科技,001379,深主板,001379_腾达科技_2024-01-15.pdf,417,2024-01-15,5.23,/Users/chenyuang/Desktop/巨潮网资料/2024/001379_腾达科技_2024-01-15.pdf,2024
强达电路,301628,创业板,301628_强达电路_2024-10-17.pdf,426,2024-10-17,10.18,/Users/chenyuang/Desktop/巨潮网资料/2024/301628_强达电路_2024-10-17.pdf,2024
速达股份,001277,深主板,001277_速达股份_2024-08-21.pdf,454,2024-08-21,7.13,/Users/chenyuang/Desktop/巨潮网资料/2024/001277_速达股份_2024-08-21.pdf,2024
国科天成,301571,创业板,301571_国科天成_2024-08-16.pdf,338,2024-08-16,8.29,/Users/chenyuang/Desktop/巨潮网资料/2024/301571_国科天成_2024-08-16.pdf,2024
力聚热能,603391,沪主板,603391_力聚热能_2024-07-26.pdf,455,2024-07-26,10.22,/Users/chenyuang/Desktop/巨潮网资料/2024/603391_力聚热能_2024-07-26.pdf,2024
星德胜,603344,沪主板,603344_星德胜_2024-03-15.pdf,390,2024-03-15,5.46,/Users/chenyuang/Desktop/巨潮网资料/2024/603344_星德胜_2024-03-15.pdf,2024
汇成真空,301392,创业板,301392_汇成真空_2024-05-30.pdf,426,2024-05-30,8.95,/Users/chenyuang/Desktop/巨潮网资料/2024/301392_汇成真空_2024-05-30.pdf,2024
瑞华技术,920099,北交所,920099_瑞华技术_2024-09-06.pdf,382,2024-09-06,6.17,/Users/chenyuang/Desktop/巨潮网资料/2024/920099_瑞华技术_2024-09-06.pdf,2024
新铝时代,301613,创业板,301613_新铝时代_2024-10-22.pdf,418,2024-10-22,6.09,/Users/chenyuang/Desktop/巨潮网资料/2024/301613_新铝时代_2024-10-22.pdf,2024
安乃达,603350,沪主板,603350_安乃达_2024-06-28.pdf,445,2024-06-28,8.55,/Users/chenyuang/Desktop/巨潮网资料/2024/603350_安乃达_2024-06-28.pdf,2024
上大股份,301522,创业板,301522_上大股份_2024-10-11.pdf,452,2024-10-11,6.68,/Users/chenyuang/Desktop/巨潮网资料/2024/301522_上大股份_2024-10-11.pdf,2024
上海合晶,688584,科创板,688584_上海合晶_2024-02-05.pdf,345,2024-02-05,7.33,/Users/chenyuang/Desktop/巨潮网资料/2024/688584_上海合晶_2024-02-05.pdf,2024
贝隆精密,301567,创业板,301567_贝隆精密_2024-01-03.pdf,317,2024-01-03,3.93,/Users/chenyuang/Desktop/巨潮网资料/2024/301567_贝隆精密_2024-01-03.pdf,2024
利安科技,300784,创业板,300784_利安科技_2024-05-24.pdf,426,2024-05-24,6.16,/Users/chenyuang/Desktop/巨潮网资料/2024/300784_利安科技_2024-05-24.pdf,2024
华阳智能,301502,创业板,301502_华阳智能_2024-01-30.pdf,325,2024-01-30,8.45,/Users/chenyuang/Desktop/巨潮网资料/2024/301502_华阳智能_2024-01-30.pdf,2024
乔锋智能,301603,创业板,301603_乔锋智能_2024-07-05.pdf,394,2024-07-05,5.65,/Users/chenyuang/Desktop/巨潮网资料/2024/301603_乔锋智能_2024-07-05.pdf,2024
托普云农,301556,创业板,301556_托普云农_2024-10-14.pdf,364,2024-10-14,10.22,/Users/chenyuang/Desktop/巨潮网资料/2024/301556_托普云农_2024-10-14.pdf,2024
美新科技,301588,创业板,301588_美新科技_2024-03-08.pdf,481,2024-03-08,9.75,/Users/chenyuang/Desktop/巨潮网资料/2024/301588_美新科技_2024-03-08.pdf,2024
毓恬冠佳,301173,创业板,301173_毓恬冠佳_2025-02-26.pdf,394,2025-02-26,8.36,/Users/chenyuang/Desktop/巨潮网资料/2025/301173_毓恬冠佳_2025-02-26.pdf,2025
常友科技,301557,创业板,301557_常友科技_2025-02-14.pdf,418,2025-02-14,11.21,/Users/chenyuang/Desktop/巨潮网资料/2025/301557_常友科技_2025-02-14.pdf,2025
恒鑫生活,301501,创业板,301501_恒鑫生活_2025-03-13.pdf,361,2025-03-13,17.5,/Users/chenyuang/Desktop/巨潮网资料/2025/301501_恒鑫生活_2025-03-13.pdf,2025
矽电股份,301629,创业板,301629_矽电股份_2025-03-07.pdf,384,2025-03-07,6.27,/Users/chenyuang/Desktop/巨潮网资料/2025/301629_矽电股份_2025-03-07.pdf,2025
泰鸿万立,603210,沪主板,603210_泰鸿万立_2025-04-03.pdf,384,2025-04-03,9.47,/Users/chenyuang/Desktop/巨潮网资料/2025/603210_泰鸿万立_2025-04-03.pdf,2025
胜科纳米,688757,科创板,688757_胜科纳米_2025-03-20.pdf,465,2025-03-20,6.64,/Users/chenyuang/Desktop/巨潮网资料/2025/688757_胜科纳米_2025-03-20.pdf,2025
